transcript_id	tissue_name	rpkm_mean	rpkm_std	rpkm_median	coef_variation	max
ENST00000484523	Adipose - Subcutaneous	0.006	0.029	0.000	4.66363497954	0.213
ENST00000484523	Skin - Sun Exposed (Lower leg)	0.000	0.000	0.000	0	0.000
ENST00000484523	Spleen	2.132	1.245	1.956	0.584040933124	5.757
ENST00000484523	Brain - Hippocampus	0.000	0.000	0.000	0	0.000
ENST00000484523	Heart - Left Ventricle	0.852	0.813	0.701	0.953871972169	3.240
ENST00000484523	Brain - Cortex	0.000	0.000	0.000	0	0.000
ENST00000484523	Muscle - Skeletal	0.000	0.000	0.000	0	0.000
ENST00000484523	Brain - Spinal cord (cervical c-1)	0.000	0.000	0.000	0	0.000
ENST00000484523	Uterus	0.174	0.300	0.000	1.72166193361	1.040
ENST00000484523	Brain - Nucleus accumbens (basal ganglia)	0.000	0.000	0.000	0	0.000
ENST00000484523	Brain - Caudate (basal ganglia)	0.000	0.000	0.000	0	0.000
ENST00000484523	Minor Salivary Gland	0.000	0.001	0.000	4.91181096961	0.004
ENST00000484523	Artery - Aorta	0.000	0.000	0.000	0	0.000
ENST00000484523	Whole Blood	2.651	2.074	2.154	0.782223297906	8.602
ENST00000484523	Kidney - Cortex	0.000	0.000	0.000	0	0.000
ENST00000484523	Nerve - Tibial	0.148	0.270	0.000	1.8208080271	1.038
ENST00000484523	Brain - Frontal Cortex (BA9)	0.000	0.000	0.000	0	0.000
ENST00000484523	Adipose - Visceral (Omentum)	0.008	0.031	0.000	4.08501191	0.188
